side,price,quantity,pnl,fee,hour,day_of_week,minute,price_change,price_volatility,price_sma_5,price_sma_20,volume_change,volume_sma,price_momentum_5,price_momentum_20,price_high_10,price_low_10,price_position,is_long,is_short,notional_value,net_result,is_profitable,is_loss,is_breakeven,fee_ratio,fee_to_pnl_ratio,rolling_pnl_5,rolling_pnl_20,rolling_winrate_10,rolling_winrate_50,win_streak,loss_streak,position_size_zscore
BUY,118443.6,0.008442837,0.0,0.4,10,2,54,0.0001005258344190769,438.53283730300063,117575.67117647061,117541.80549468084,-0.0005089151547902118,0.008489683218497409,0.0004071204771660815,0.0005689227329646845,117942.82575129533,116911.68857512953,0.5152875849317207,1,0,1000.0000084932001,-0.4,0,1,0,0.00039999999660272,inf,-1.3049117020460355,-5.226300983510639,0.06735751295336788,0.0677456647398844,0,1,-0.011240172404909057
BUY,118443.6,0.008442837,0.0,0.4,10,2,54,0.0,0.0,117575.67117647061,117541.80549468084,0.0,0.008489683218497409,0.0004071204771660815,0.0005689227329646845,117942.82575129533,116911.68857512953,0.5152875849317207,1,0,1000.0000084932001,-0.4,0,1,0,0.00039999999660272,inf,-1.3049117020460355,-5.226300983510639,0.06735751295336788,0.0677456647398844,0,2,-0.011240172404909057
BUY,118443.6,0.008442837,0.0,0.4,10,2,54,0.0,0.0,117575.67117647061,117541.80549468084,0.0,0.008489683218497409,0.0004071204771660815,0.0005689227329646845,117942.82575129533,116911.68857512953,0.5152875849317207,1,0,1000.0000084932001,-0.4,0,1,0,0.00039999999660272,inf,-1.3049117020460355,-5.226300983510639,0.06735751295336788,0.0677456647398844,0,3,-0.011240172404909057
SELL,118443.6,0.008442837,0.0,0.4,10,2,54,0.0,0.0,117575.67117647061,117541.80549468084,0.0,0.008489683218497409,0.0004071204771660815,0.0005689227329646845,117942.82575129533,116911.68857512953,0.5152875849317207,0,1,1000.0000084932001,-0.4,0,1,0,0.00039999999660272,inf,-1.3049117020460355,-5.226300983510639,0.06735751295336788,0.0677456647398844,0,4,-0.011240172404909057
SELL,118443.6,0.008442837,0.0,0.4,10,2,54,0.0,0.0,118443.6,117541.80549468084,0.0,0.008489683218497409,0.0004071204771660815,0.0005689227329646845,117942.82575129533,116911.68857512953,0.5152875849317207,0,1,1000.0000084932001,-0.4,0,1,0,0.00039999999660272,inf,0.0,-5.226300983510639,0.06735751295336788,0.0677456647398844,0,5,-0.011240172404909057
SELL,118443.6,0.008442837,0.0,0.4,10,2,54,0.0,0.0,118443.6,117541.80549468084,0.0,0.008489683218497409,0.0,0.0005689227329646845,117942.82575129533,116911.68857512953,0.5152875849317207,0,1,1000.0000084932001,-0.4,0,1,0,0.00039999999660272,inf,0.0,-5.226300983510639,0.06735751295336788,0.0677456647398844,0,6,-0.011240172404909057
BUY,118324.7,0.008442837,-1.0038533,0.0,11,2,0,-0.0010038533107741276,44.93997584079904,118419.81999999999,117541.80549468084,0.0,0.008489683218497409,-0.0010038533107741467,0.0005689227329646845,117942.82575129533,116911.68857512953,0.5152875849317207,1,0,998.9961551739,-1.0038533,0,1,0,0.0,0.0,-1.0038533,-5.226300983510639,0.06735751295336788,0.0677456647398844,0,7,-2.267786838055406
BUY,118324.7,0.008442837,-1.0038533,0.0,11,2,0,0.0,55.04000493148006,118396.04000000001,117541.80549468084,0.0,0.008489683218497409,-0.0010038533107741467,0.0005689227329646845,117942.82575129533,116911.68857512953,0.5152875849317207,1,0,998.9961551739,-1.0038533,0,1,0,0.0,0.0,-2.0077066,-5.226300983510639,0.06735751295336788,0.0677456647398844,0,8,-1.6201851746019345
BUY,118324.7,0.008442837,-1.0038533,0.0,11,2,0,0.0,59.450000000001396,118372.26000000001,117541.80549468084,0.0,0.008489683218497409,-0.0010038533107741467,0.0005689227329646845,117942.82575129533,116911.68857512953,0.5152875849317207,1,0,998.9961551739,-1.0038533,0,1,0,0.0,0.0,-3.0115599,-5.226300983510639,0.06735751295336788,0.0677456647398844,0,9,-1.3333333333333144
BUY,118322.7,0.008451464,0.0,0.4,11,2,9,-1.690264162934607e-05,61.660597899578015,118348.08,117541.80549468084,0.0010218129285215483,0.0084436997,-0.0010207389846307333,0.0005689227329646845,118443.6,118322.7,0.0,1,0,1000.0000394328,-0.4,0,1,0,0.00039999998422688066,inf,-3.0115599,-5.226300983510639,0.0,0.0677456647398844,0,10,0.6211136932142327
